,code,class,name,market_cap,reg_day,per
734,A139310,kospi,TIGER 금속선물(H),37,-,-
735,A222670,,플럼라인생명과학,195,20150728,-
736,A510004,kospi,대신 인버스 아연선물 ETN(H),62,-,-
737,A500038,kospi,신한 인버스 2X 금 선물 ETN,55,-,-
738,A500051,kospi,신한 인버스 2X S&P500 선물 ETN,69,-,-
739,A160580,kospi,TIGER 구리실물,111,-,-
740,A520010,kospi,미래에셋 원유선물혼합 ETN(H),163,-,-
741,A550045,kospi,QV 인버스 레버리지 S&P500 ETN,46,-,-
742,A248260,kospi,TIGER 일본TOPIX헬스케어(합성),117,-,-
743,A530064,kospi,삼성 인버스 2X 구리 선물 ETN(H),36,-,-
744,A500021,kospi,신한 천연가스 선물 ETN(H),72,-,-
745,A196030,kospi,KINDEX 일본TOPIX레버리지(H),129,-,-
746,A570042,kospi,TRUE 인버스 나스닥 100 ETN,47,-,-
747,A510001,kospi,대신 WTI원유 선물 ETN(H),460,-,-
748,A299480,,지앤이헬스케어,167,20180629,-
749,A199800,,툴젠,6780,20140625,-
750,A500019,kospi,신한 레버리지 WTI원유 선물 ETN(H),3219,-,-
751,A101280,kospi,KODEX 일본TOPIX100,96,-,-
752,A218420,kospi,KODEX 미국S&P에너지(합성),198,-,-
753,A212310,,휴벡셀,141,20160726,-
754,A267810,,앙츠,27,20170428,-
755,A200350,,래몽래인,1048,20141224,-
756,A510006,kospi,대신 인버스 니켈선물 ETN(H),39,-,-
757,A500041,kospi,신한 인버스 2X 구리 선물 ETN,34,-,-
758,A500052,kospi,신한 FnGuide 5G 테마주 ETN,120,-,-
759,A530062,kospi,삼성 인버스 2X 은 선물 ETN(H),162,-,-
760,A285770,,라이프사이언스테크놀로지,85,20171221,-
761,A150440,,피노텍,258,20141205,-
762,A500030,kospi,신한 인버스 2X 은 선물 ETN(H),117,-,-
763,A149010,,아이케이세미콘,173,20141114,-
764,A500056,kospi,신한 레버리지 Russell 2000 ETN,146,-,-
